w_i,w_q,label,opt_threshold,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,kappa,auc_roc,auc_pr,tp,tn,fp,fn
0.0,1.0,w_I=0.00,7.5,0.22581,0.5,0.22581,1.0,0.0,0.36842,0.0,0.0,0.73738,0.4081,35,0,120,0
0.05,0.95,w_I=0.05,8.7312,0.25806,0.52083,0.23333,1.0,0.04167,0.37838,0.0986,0.01926,0.76,0.42313,35,5,115,0
0.1,0.9,w_I=0.10,12.6981,0.31613,0.55833,0.24823,1.0,0.11667,0.39773,0.17018,0.05629,0.79238,0.46544,35,14,106,0
0.15,0.85,w_I=0.15,15.1863,0.4,0.6125,0.27344,1.0,0.225,0.42945,0.24804,0.11592,0.83286,0.56045,35,27,93,0
0.2,0.8,w_I=0.20,18.039,0.51613,0.6875,0.31818,1.0,0.375,0.48276,0.34542,0.2132,0.87,0.65948,35,45,75,0
0.25,0.75,w_I=0.25,20.832,0.59355,0.7375,0.35714,1.0,0.475,0.52632,0.41188,0.29008,0.90905,0.7518,35,57,63,0
0.3,0.7,w_I=0.30,23.5359,0.74839,0.8375,0.47297,1.0,0.675,0.6422,0.56503,0.48399,0.94048,0.83145,35,81,39,0
0.35,0.65,w_I=0.35,25.5201,0.8129,0.87917,0.54688,1.0,0.75833,0.70707,0.64398,0.58629,0.95571,0.8745,35,91,29,0
0.4,0.6,w_I=0.40,27.456,0.85806,0.90833,0.61404,1.0,0.81667,0.76087,0.70814,0.66796,0.96524,0.90848,35,98,22,0
0.45,0.55,w_I=0.45,31.4193,0.89032,0.92917,0.67308,1.0,0.85833,0.8046,0.76008,0.73235,0.96976,0.9228,35,103,17,0
0.5,0.5,w_I=0.50,31.524,0.89032,0.92917,0.67308,1.0,0.85833,0.8046,0.76008,0.73235,0.97071,0.92662,35,103,17,0
0.55,0.45,w_I=0.55,32.3012,0.89032,0.92917,0.67308,1.0,0.85833,0.8046,0.76008,0.73235,0.97167,0.92991,35,103,17,0
0.6,0.4,w_I=0.60,33.0591,0.89032,0.92917,0.67308,1.0,0.85833,0.8046,0.76008,0.73235,0.98286,0.95408,35,103,17,0
0.65,0.35,w_I=0.65,42.3032,0.96129,0.975,0.85366,1.0,0.95,0.92105,0.90054,0.89562,0.99429,0.98162,35,114,6,0
0.7,0.3,w_I=0.70,44.2089,0.9871,0.99167,0.94595,1.0,0.98333,0.97222,0.96446,0.96383,0.99881,0.99603,35,118,2,0
0.75,0.25,w_I=0.75,44.1339,0.99355,0.99583,0.97222,1.0,0.99167,0.98592,0.9819,0.98173,0.99976,0.99921,35,119,1,0
0.8,0.2,w_I=0.80,45.6776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,120,0,0
0.85,0.15,w_I=0.85,42.9204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,120,0,0
0.9,0.1,w_I=0.90,40.1028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,120,0,0
0.95,0.05,w_I=0.95,39.227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,120,0,0
1.0,0.0,w_I=1.00,39.9666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,120,0,0
